image_name,target
ISIC_0000000,0.1605192
ISIC_0000001,0.14283584
ISIC_0000002,0.5082287
ISIC_0000003,0.13397452
ISIC_0000004,0.33664387
ISIC_0000006,0.066573605
ISIC_0000007,0.11231094
ISIC_0000008,0.2683469
ISIC_0000009,0.1408858
ISIC_0000010,0.19066983
ISIC_0000011,0.26139808
ISIC_0000012,0.24776308
ISIC_0000013,0.43116114
ISIC_0000014,0.3344358
ISIC_0000015,0.17389439
ISIC_0000016,0.11881736
ISIC_0000017,0.090085454
ISIC_0000017_downsampled,0.089332215
ISIC_0000018,0.14447355
ISIC_0000018_downsampled,0.16276498
ISIC_0000019,0.08345642
ISIC_0000019_downsampled,0.115183905
ISIC_0000020,0.2155282
ISIC_0000020_downsampled,0.23215389
ISIC_0000021,0.27001682
ISIC_0000021_downsampled,0.23930825
ISIC_0000022,0.16548082
ISIC_0000022_downsampled,0.1964576
ISIC_0000023,0.22159891
ISIC_0000023_downsampled,0.2118011
ISIC_0000024,0.08893366
ISIC_0000024_downsampled,0.061013795
ISIC_0000025,0.287561
ISIC_0000025_downsampled,0.3413
ISIC_0000026,0.18413599
ISIC_0000026_downsampled,0.19850145
ISIC_0000027,0.056606624
ISIC_0000027_downsampled,0.059750017
ISIC_0000028,0.089858286
ISIC_0000028_downsampled,0.14112625
ISIC_0000029,0.8481239
ISIC_0000029_downsampled,0.7316893
ISIC_0000030,0.7251964
ISIC_0000030_downsampled,0.50737244
ISIC_0000031,0.95157075
ISIC_0000031_downsampled,0.93290305
ISIC_0000032,0.07036531
ISIC_0000032_downsampled,0.10645818
ISIC_0000034,0.31115177
ISIC_0000034_downsampled,0.32269588
ISIC_0000035,0.4167017
ISIC_0000035_downsampled,0.4364554
ISIC_0000036,0.83956194
ISIC_0000036_downsampled,0.6277815
ISIC_0000037,0.26550347
ISIC_0000037_downsampled,0.39243025
ISIC_0000038,0.41379565
ISIC_0000038_downsampled,0.28593135
ISIC_0000039,0.10955785
ISIC_0000039_downsampled,0.33328193
ISIC_0000040,0.106746
ISIC_0000040_downsampled,0.09506702
ISIC_0000041,0.06810988
ISIC_0000041_downsampled,0.06617116
ISIC_0000042,0.30617785
ISIC_0000042_downsampled,0.2683738
ISIC_0000043,0.26777032
ISIC_0000043_downsampled,0.30314064
ISIC_0000044,0.1244858
ISIC_0000044_downsampled,0.11815822
ISIC_0000045,0.26463568
ISIC_0000045_downsampled,0.26048547
ISIC_0000046,0.15643537
ISIC_0000046_downsampled,0.20950674
ISIC_0000047,0.099793315
ISIC_0000047_downsampled,0.08727078
ISIC_0000048,0.15205503
ISIC_0000048_downsampled,0.16793521
ISIC_0000049,0.27377626
ISIC_0000049_downsampled,0.3337606
ISIC_0000050,0.1681849
ISIC_0000050_downsampled,0.15005073
ISIC_0000051,0.26085064
ISIC_0000051_downsampled,0.17170198
ISIC_0000052,0.11464205
ISIC_0000052_downsampled,0.092201285
ISIC_0000053,0.26142064
ISIC_0000053_downsampled,0.22766365
ISIC_0000054,0.15020928
ISIC_0000054_downsampled,0.24692793
ISIC_0000055,0.058383826
ISIC_0000055_downsampled,0.07635398
ISIC_0000056,0.31755978
ISIC_0000056_downsampled,0.3717296
ISIC_0000057,0.24648204
ISIC_0000057_downsampled,0.23880781
ISIC_0000058_downsampled,0.20912434
ISIC_0000059,0.15809348
ISIC_0000059_downsampled,0.13269559
ISIC_0000060_downsampled,0.10820793
ISIC_0000061,0.1639874
ISIC_0000061_downsampled,0.17832386
ISIC_0000062,0.11028562
ISIC_0000062_downsampled,0.08621466
ISIC_0000063,0.34512556
ISIC_0000063_downsampled,0.42224118
ISIC_0000064,0.07922197
ISIC_0000064_downsampled,0.11597068
ISIC_0000065,0.12773065
ISIC_0000065_downsampled,0.14121898
ISIC_0000066,0.15351075
ISIC_0000067,0.09548978
ISIC_0000068,0.14567107
ISIC_0000069,0.14041238
ISIC_0000071,0.05174397
ISIC_0000072,0.33772805
ISIC_0000073,0.2689485
ISIC_0000074,0.52228
ISIC_0000075,0.1749081
ISIC_0000077,0.19722934
ISIC_0000077_downsampled,0.15585743
ISIC_0000078,0.15785801
ISIC_0000078_downsampled,0.1897748
ISIC_0000079,0.15013443
