image_name,target
ISIC_0000000,0.44683
ISIC_0000001,0.34933752
ISIC_0000002,0.63087845
ISIC_0000003,0.450368
ISIC_0000004,0.391621
ISIC_0000006,0.30492383
ISIC_0000007,0.35568774
ISIC_0000008,0.47065362
ISIC_0000009,0.3639328
ISIC_0000010,0.21525651
ISIC_0000011,0.42446935
ISIC_0000012,0.36893508
ISIC_0000013,0.47357723
ISIC_0000014,0.38774836
ISIC_0000015,0.37350184
ISIC_0000016,0.5073322
ISIC_0000017,0.35040548
ISIC_0000017_downsampled,0.2791546
ISIC_0000018,0.33856064
ISIC_0000018_downsampled,0.4359781
ISIC_0000019,0.28027266
ISIC_0000019_downsampled,0.31134135
ISIC_0000020,0.40212566
ISIC_0000020_downsampled,0.4655925
ISIC_0000021,0.470388
ISIC_0000021_downsampled,0.39859587
ISIC_0000022,0.33455256
ISIC_0000022_downsampled,0.28567967
ISIC_0000023,0.4911163
ISIC_0000023_downsampled,0.39972126
ISIC_0000024,0.31779832
ISIC_0000024_downsampled,0.35480928
ISIC_0000025,0.40849426
ISIC_0000025_downsampled,0.31955084
ISIC_0000026,0.3168839
ISIC_0000026_downsampled,0.31771678
ISIC_0000027,0.26237792
ISIC_0000027_downsampled,0.22270364
ISIC_0000028,0.49550825
ISIC_0000028_downsampled,0.33628443
ISIC_0000029,0.5429091
ISIC_0000029_downsampled,0.6081624
ISIC_0000030,0.71059823
ISIC_0000030_downsampled,0.7071308
ISIC_0000031,0.71407074
ISIC_0000031_downsampled,0.73221093
ISIC_0000032,0.29786476
ISIC_0000032_downsampled,0.33030736
ISIC_0000034,0.47992054
ISIC_0000034_downsampled,0.49065146
ISIC_0000035,0.44935998
ISIC_0000035_downsampled,0.48613048
ISIC_0000036,0.7561866
ISIC_0000036_downsampled,0.76644367
ISIC_0000037,0.41899195
ISIC_0000037_downsampled,0.49006844
ISIC_0000038,0.61070603
ISIC_0000038_downsampled,0.5904951
ISIC_0000039,0.43664426
ISIC_0000039_downsampled,0.49685127
ISIC_0000040,0.39251032
