image_name,target
ISIC_0000000,0.33770347
ISIC_0000001,0.3708313
ISIC_0000002,0.6637128
ISIC_0000003,0.42585272
ISIC_0000004,0.46692905
ISIC_0000006,0.32214105
ISIC_0000007,0.3419982
ISIC_0000008,0.4361093
ISIC_0000009,0.37385798
ISIC_0000010,0.34526962
ISIC_0000011,0.5396205
ISIC_0000012,0.4102086
ISIC_0000013,0.4914118
ISIC_0000014,0.40766022
ISIC_0000015,0.45641664
ISIC_0000016,0.3383199
ISIC_0000017,0.32139444
ISIC_0000017_downsampled,0.34646663
ISIC_0000018,0.50746447
ISIC_0000018_downsampled,0.47200635
ISIC_0000019,0.2941097
ISIC_0000019_downsampled,0.28670895
ISIC_0000020,0.4965468
ISIC_0000020_downsampled,0.5210855
ISIC_0000021,0.4922134
ISIC_0000021_downsampled,0.4723659
ISIC_0000022,0.4873574
ISIC_0000022_downsampled,0.36925495
ISIC_0000023,0.44439048
ISIC_0000023_downsampled,0.35429534
ISIC_0000024,0.3800237
ISIC_0000024_downsampled,0.3519885
ISIC_0000025,0.43231636
ISIC_0000025_downsampled,0.38518387
ISIC_0000026,0.4071823
ISIC_0000026_downsampled,0.55163777
ISIC_0000027,0.18292221
ISIC_0000027_downsampled,0.16983294
ISIC_0000028,0.30137688
ISIC_0000028_downsampled,0.20581262
ISIC_0000029,0.5963842
ISIC_0000029_downsampled,0.60161555
ISIC_0000030,0.7108868
ISIC_0000030_downsampled,0.7402158
ISIC_0000031,0.8543514
ISIC_0000031_downsampled,0.86406326
ISIC_0000032,0.2656594
ISIC_0000032_downsampled,0.3190315
ISIC_0000034,0.64561296
ISIC_0000034_downsampled,0.6724559
ISIC_0000035,0.506082
ISIC_0000035_downsampled,0.3861217
ISIC_0000036,0.87798864
ISIC_0000036_downsampled,0.7838066
ISIC_0000037,0.3177525
ISIC_0000037_downsampled,0.37406453
ISIC_0000038,0.5524741
ISIC_0000038_downsampled,0.55576056
ISIC_0000039,0.4585941
ISIC_0000039_downsampled,0.4023307
ISIC_0000040,0.36272734
ISIC_0000040_downsampled,0.39638266
ISIC_0000041,0.29891717
ISIC_0000041_downsampled,0.30414823
ISIC_0000042,0.23914038
ISIC_0000042_downsampled,0.32718033
ISIC_0000043,0.47634923
ISIC_0000043_downsampled,0.47549206
ISIC_0000044,0.41344473
ISIC_0000044_downsampled,0.3676073
ISIC_0000045,0.3822965
ISIC_0000045_downsampled,0.33150223
ISIC_0000046,0.49967995
ISIC_0000046_downsampled,0.50583196
ISIC_0000047,0.22945021
ISIC_0000047_downsampled,0.23694025
ISIC_0000048,0.3377183
ISIC_0000048_downsampled,0.25783265
ISIC_0000049,0.55668336
ISIC_0000049_downsampled,0.5739708
ISIC_0000050,0.52232057
ISIC_0000050_downsampled,0.39983505
ISIC_0000051,0.44188505
ISIC_0000051_downsampled,0.4659054
ISIC_0000052,0.27354842
ISIC_0000052_downsampled,0.22533509
ISIC_0000053,0.45659563
ISIC_0000053_downsampled,0.43780372
ISIC_0000054,0.40157163
ISIC_0000054_downsampled,0.26267394
ISIC_0000055,0.25871527
ISIC_0000055_downsampled,0.18520242
ISIC_0000056,0.47451505
ISIC_0000056_downsampled,0.44387823
ISIC_0000057,0.33366486
ISIC_0000057_downsampled,0.34704465
ISIC_0000058_downsampled,0.26828235
ISIC_0000059,0.34615135
ISIC_0000059_downsampled,0.25005227
ISIC_0000060_downsampled,0.3255298
ISIC_0000061,0.30386025
ISIC_0000061_downsampled,0.38087898
ISIC_0000062,0.33255318
ISIC_0000062_downsampled,0.4204028
ISIC_0000063,0.5392513
ISIC_0000063_downsampled,0.4765556
ISIC_0000064,0.31826505
ISIC_0000064_downsampled,0.34374088
ISIC_0000065,0.34435242
ISIC_0000065_downsampled,0.3282005
ISIC_0000066,0.32830653
ISIC_0000067,0.30242914
ISIC_0000068,0.35153788
ISIC_0000069,0.34099457
ISIC_0000071,0.33775958
ISIC_0000072,0.48230302
ISIC_0000073,0.4698474
ISIC_0000074,0.7522522
ISIC_0000075,0.29439196
ISIC_0000077,0.4849079
ISIC_0000077_downsampled,0.3194803
ISIC_0000078,0.42909104
ISIC_0000078_downsampled,0.580083
ISIC_0000079,0.33541048
ISIC_0000079_downsampled,0.38503683
ISIC_0000080,0.31465897
ISIC_0000080_downsampled,0.3135997
ISIC_0000081,0.38663474
ISIC_0000081_downsampled,0.31646127
ISIC_0000082,0.2733
ISIC_0000082_downsampled,0.22694436
ISIC_0000085,0.3437938
ISIC_0000085_downsampled,0.3626135
ISIC_0000086,0.38340724
ISIC_0000086_downsampled,0.32955724
ISIC_0000087,0.40050384
ISIC_0000087_downsampled,0.3353747
ISIC_0000088,0.38908443
ISIC_0000088_downsampled,0.3474077
ISIC_0000089,0.40240696
