image_name,target
ISIC_0000000,0.38429972529411316
ISIC_0000001,0.3463054969906807
ISIC_0000002,0.618046410381794
ISIC_0000003,0.4589211270213127
ISIC_0000004,0.4884563386440277
ISIC_0000006,0.2628472000360489
ISIC_0000007,0.24324070289731026
ISIC_0000008,0.5455973148345947
ISIC_0000009,0.30569398775696754
ISIC_0000010,0.30294758826494217
ISIC_0000011,0.5281504467129707
ISIC_0000012,0.3465537168085575
ISIC_0000013,0.4928116351366043
ISIC_0000014,0.3896016627550125
ISIC_0000015,0.32722776755690575
ISIC_0000016,0.3401004746556282
ISIC_0000017,0.27205509319901466
ISIC_0000017_downsampled,0.30446957051754
ISIC_0000018,0.36845336109399796
ISIC_0000018_downsampled,0.39792922139167786
ISIC_0000019,0.2884560748934746
ISIC_0000019_downsampled,0.3056066259741783
ISIC_0000020,0.4004877358675003
ISIC_0000020_downsampled,0.5452249571681023
ISIC_0000021,0.4156831279397011
ISIC_0000021_downsampled,0.3813481703400612
ISIC_0000022,0.37262243032455444
ISIC_0000022_downsampled,0.41649726033210754
ISIC_0000023,0.3786136135458946
ISIC_0000023_downsampled,0.40179041028022766
ISIC_0000024,0.29256073012948036
ISIC_0000024_downsampled,0.2979726120829582
ISIC_0000025,0.31608104333281517
ISIC_0000025_downsampled,0.28705139085650444
ISIC_0000026,0.4405797868967056
ISIC_0000026_downsampled,0.4200180917978287
ISIC_0000027,0.2320542111992836
ISIC_0000027_downsampled,0.2112908959388733
ISIC_0000028,0.23221920058131218
ISIC_0000028_downsampled,0.20217429101467133
ISIC_0000029,0.7122578620910645
ISIC_0000029_downsampled,0.7525620758533478
ISIC_0000030,0.7007683664560318
ISIC_0000030_downsampled,0.7451717555522919
ISIC_0000031,0.8890437483787537
ISIC_0000031_downsampled,0.8666949719190598
ISIC_0000032,0.303619384765625
ISIC_0000032_downsampled,0.31258728727698326
ISIC_0000034,0.6373052000999451
ISIC_0000034_downsampled,0.5958165749907494
ISIC_0000035,0.4544839635491371
ISIC_0000035_downsampled,0.5023735389113426
ISIC_0000036,0.7313857823610306
ISIC_0000036_downsampled,0.7573741227388382
ISIC_0000037,0.4126611575484276
ISIC_0000037_downsampled,0.44727662205696106
ISIC_0000038,0.4725085645914078
ISIC_0000038_downsampled,0.4406445175409317
ISIC_0000039,0.4450334310531616
ISIC_0000039_downsampled,0.44103841483592987
ISIC_0000040,0.3920753002166748
ISIC_0000040_downsampled,0.3548329696059227
ISIC_0000041,0.2857767976820469
